snowpark_connect_category,keyword_pattern,language,ewi_code,sma_category,description_template,doc_url
Unsupported Writer API,\.bucketBy\(|\.insertInto\(|\.sortBy\(,java,SPRKCNTSCL1000,ConversionError,"The element '{element}' is an unsupported DataFrameWriter API in Snowpark Connect (bucketBy/insertInto/sortBy) — use saveAsTable or parquet writes instead",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
TaxonomyMeta,,java,SPRKCNTSCL5000,Warning,"The element '{element}' — Division by zero / numeric semantics difference (Spark returns NULL; Snowflake throws an error)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5001,Warning,"The element '{element}' — Cast failure semantics difference (Spark returns NULL silently; Snowflake throws a runtime error)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5002,Warning,"The element '{element}' — datediff parameter order differs (Spark: datediff(end,start); Snowflake: datediff(unit,start,end))",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5003,Warning,"The element '{element}' — union() is position-based; mismatched column orders cause silent data misalignment",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5004,Warning,"The element '{element}' — element_at indexing difference (1-indexed in Spark; may be 0-indexed in Spark Connect)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5005,Warning,"The element '{element}' — concat_ws null handling difference (Spark skips nulls; Snowflake returns NULL if any arg is null)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5006,Warning,"The element '{element}' — NULL ordering reversed (Spark ASC=nulls last; Snowflake ASC=nulls first)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5007,Warning,"The element '{element}' — NaN not supported in Snowflake; isnan() values become NULL",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5008,Warning,"The element '{element}' — regexp_replace regex dialect difference (Java regex in Spark; POSIX extended in Snowflake)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5009,Warning,"The element '{element}' — greatest/least null handling difference (Spark skips nulls; Snowflake returns NULL if any arg is null)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5010,Warning,"The element '{element}' — concat null handling difference (Spark skips nulls; Snowflake returns NULL if any arg is null)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5011,Warning,"The element '{element}' — regexp_extract no-match return differs (Spark returns empty string; Snowflake returns NULL)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5012,Warning,"The element '{element}' — first()/last() non-deterministic in Snowflake without explicit ORDER BY",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5013,Warning,"The element '{element}' — round() rounding mode difference (Spark: half-up; Snowflake: half-even / banker's)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5014,Warning,"The element '{element}' — explode null/empty array handling differs; use FLATTEN(OUTER=>TRUE) in Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5015,Warning,"The element '{element}' — String comparison case-sensitivity difference (Spark binary; Snowflake collation-dependent)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5016,Warning,"The element '{element}' — months_between return type differs (Spark: fractional Double; Snowflake: whole-month Integer)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5017,Warning,"The element '{element}' — null-safe equality (<=> / eqNullSafe) not directly supported in Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5018,Warning,"The element '{element}' — aggregation result column auto-naming differs between Spark and Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5019,Warning,"The element '{element}' — split() delimiter treatment differs (Spark: Java regex; Snowflake: literal string)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5020,Warning,"The element '{element}' — Integer division semantics differ (Spark: truncated int; Snowflake: DECIMAL)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5021,Warning,"The element '{element}' — Boolean string-casting more permissive in Snowflake (also accepts 'yes'/'no'/'on'/'off')",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5022,Warning,"The element '{element}' — substring(col, 0) returns 1-based result in Spark but empty string in Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5023,Warning,"The element '{element}' — groupBy result ordering is non-deterministic in Snowflake; add explicit ORDER BY",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5024,Warning,"The element '{element}' — Timestamp precision differs (Spark: microsecond; Snowflake: nanosecond)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5025,Warning,"The element '{element}' — approx_count_distinct RSD precision not configurable in Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5026,Warning,"The element '{element}' — date_format() token differences (Spark: Java tokens yyyy/HH; Snowflake: different format tokens)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5027,Warning,"The element '{element}' — collect_list/collect_set ordering non-deterministic in Snowflake; add ORDER BY",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,java,SPRKCNTSCL5028,Warning,"The element '{element}' — Distribution hints (broadcast/repartition/coalesce) may be silently ignored in Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
Hadoop FS / Cloud Path / Stage,,java,SPRKCNTSCL3200,ConversionError,"The element '{element}' — Hadoop FS / cloud path / credential (use a Snowflake stage or storage integration)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl3200
JDBC,,java,SPRKCNTSCL6000,ConversionError,"The element '{element}' — JDBC source / sink (no JVM driver in Spark Connect; use the Snowflake connector or an external table)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl6000
