snowpark_connect_category,keyword_pattern,language,ewi_code,sma_category,description_template,doc_url
No-Op Config,,python,SPRKCNTPY1000,Warning,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
UDF Serialization,,python,SPRKCNTPY1000,Warning,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Performance Optimization,,python,SPRKCNTPY1000,Information,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Recommended Improvement,,python,SPRKCNTPY1000,Information,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Generic,,python,SPRKCNTPY1000,ConversionError,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect TODO,,python,SPRKCNTPY1000,ConversionError,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect Performance,,python,SPRKCNTPY1000,Information,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect Fix,,python,SPRKCNTPY1000,Warning,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
TaxonomyMeta,,python,SPRKCNTPY2600,ConversionError,The element '{element}' — UDTF/UDAF requiring Snowpark handler conversion,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY3100,ConversionError,The element '{element}' — JVM-only / external-runtime library (Databricks/EMR/Deequ),https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY3200,ConversionError,The element '{element}' — Hadoop FS / cloud path / credential (use a Snowflake stage or storage integration),https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY3300,Warning,The element '{element}' — Catalog DDL (USE DATABASE/SCHEMA) rewritten to a fully-qualified name,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY3400,ConversionError,The element '{element}' — Delta Lake API/SQL (use a Snowflake-native equivalent),https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY4002,Warning,The element '{element}' — SparkContext property replaced with a static fallback,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5000,Warning,The element '{element}' — Data type / numeric semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5100,Warning,The element '{element}' — Datetime / timezone semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5200,Warning,The element '{element}' — Structured type (ARRAY/MAP/STRUCT) semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5300,Warning,The element '{element}' — Aggregation / window function semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5400,ConversionError,The element '{element}' — Spark SQL syntax / DDL construct difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5450,ConversionError,The element '{element}' — Subquery / lateral-join restriction,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5500,Warning,The element '{element}' — Regex / string-function semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5600,Information,The element '{element}' — Built-in function backed by a UDF (correct but slower per-row),https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5700,Warning,The element '{element}' — User-defined function (UDF) behavior difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5800,ConversionError,The element '{element}' — File I/O / format support difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5900,Warning,The element '{element}' — Hive-style partitioning difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6000,ConversionError,The element '{element}' — JDBC source / sink difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6100,Information,The element '{element}' — Execution model / performance difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6200,Warning,The element '{element}' — Catalog / metadata semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6300,Warning,The element '{element}' — Observability / debugging difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6400,Warning,The element '{element}' — Session isolation / concurrency difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6500,Warning,The element '{element}' — Lazy resolution / temp-view rebinding difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
AWS Glue Entry Point,GlueContext|getResolvedOptions|job.commit|job.init|awsglue.context|awsglue.job,python,SPRKCNTPY3600,ConversionError,The AWS Glue entry point '{element}' was replaced with a Snowpark Connect session; Job/bookmark lifecycle calls have no equivalent and were removed,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
AWS Glue Job Arguments,getResolvedOptions|awsglue.utils,python,SPRKCNTPY3601,Warning,The AWS Glue argument accessor '{element}' was replaced with argparse-based argument parsing,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
AWS Glue Catalog Read,create_dynamic_frame|from_catalog|getSource,python,SPRKCNTPY3602,ConversionError,The AWS Glue Data Catalog read '{element}' was repointed to a native Snowflake table read; Glue exposes LOWERCASE column names while Snowflake returns UPPERCASE — normalize identifiers to avoid silently dropping columns,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
AWS Glue ApplyMapping,ApplyMapping,python,SPRKCNTPY3603,ConversionError,The AWS Glue transform '{element}' was converted to an explicit select/cast/alias projection (ApplyMapping projects ONLY mapped columns and nulls failed casts),https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
AWS Glue Filter,Filter.apply|glue filter,python,SPRKCNTPY3604,ConversionError,"The AWS Glue row-wise predicate '{element}' must be rewritten as a null-safe Column expression — Glue evaluates Python truthiness per row while Spark uses SQL three-valued logic, so a naive port silently drops null rows",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
AWS Glue DynamicFrame,DynamicFrame|DynamicFrameCollection|ResolveChoice|DropFields|SelectFields|RenameField|toDF|fromDF,python,SPRKCNTPY3605,Warning,The AWS Glue DynamicFrame construct '{element}' was converted to the equivalent native DataFrame operation,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
AWS Glue Job Bookmark,transformation_ctx|job bookmark|job.commit,python,SPRKCNTPY3606,ConversionError,The AWS Glue job bookmark '{element}' has no Snowpark Connect equivalent; replace incremental tracking with a directory table on an external stage plus a Stream,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
AWS Glue Types,gluetypes|awsglue.gluetypes,python,SPRKCNTPY3607,Warning,The AWS Glue type comparison '{element}' was converted to a pyspark.sql.types isinstance check,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
Snowflake Connector Writeback,preactions|postactions|net.snowflake.spark.snowflake,python,SPRKCNTPY3608,ConversionError,The Snowflake Spark connector write '{element}' is not usable inside Snowpark Connect; the preactions/postactions MERGE pattern must be rewritten as saveAsTable to a staging table followed by spark.sql MERGE,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
AWS Glue Catalog Write,write_dynamic_frame|getSink|from_jdbc_conf,python,SPRKCNTPY3609,ConversionError,The AWS Glue Data Catalog write '{element}' was repointed to a native Snowflake table write,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
